,ê∂éYé“,àÍéüè¡îÔé“,ìÒéüè¡îÔé“
396,1.481172,0.820307,0.995723
397,1.133722,1.266347,1.195864
398,0.795675,1.382409,1.637816
399,0.769539,0.906046,2.078662
400,1.142546,0.449721,2.055654
401,1.565226,0.291683,1.681134
402,1.730842,0.294797,1.306653
403,1.71395,0.414351,1.061756
404,1.563368,0.689719,0.980852
405,1.259849,1.126606,1.102566
406,0.885333,1.416523,1.472325
407,0.731354,1.097579,1.967115
408,0.988572,0.562701,2.12219
409,1.451708,0.319656,1.8162
410,1.702365,0.281206,1.417889
411,1.734271,0.360854,1.125134
412,1.628475,0.57905,0.987484
413,1.375792,0.974668,1.036921
414,1.000049,1.374913,1.324396
415,0.740015,1.265493,1.815742
416,0.860472,0.713768,2.13406
417,1.309588,0.368428,1.944001
418,1.650595,0.279433,1.541521
419,1.740725,0.321924,1.205203
420,1.677737,0.48884,1.013919
421,1.476288,0.827783,0.99716
422,1.126859,1.273039,1.201642
423,0.791812,1.378382,1.646912
424,0.77292,0.895798,2.083119
425,1.151106,0.444727,2.050854
426,1.570391,0.290672,1.673918
427,1.731803,0.295851,1.301106
428,1.712483,0.417658,1.058855
429,1.559418,0.696208,0.981086
430,1.253305,1.134564,1.106838
431,0.879802,1.416689,1.480815
432,0.73219,1.087643,1.97427
433,0.996311,0.555698,2.119898
434,1.458559,0.317688,1.809067
435,1.704428,0.281638,1.41161
436,1.73353,0.363326,1.12132
437,1.62541,0.584438,0.986616
438,1.369959,0.982778,1.039754
439,0.993497,1.378848,1.331704
440,0.738416,1.25767,1.824468
441,0.866381,0.704794,2.134993
442,1.317743,0.365193,1.937566
443,1.654036,0.279215,1.534655
444,1.740749,0.323666,1.200517
445,1.675483,0.49316,1.012029
446,1.471353,0.835304,0.998666
447,1.119994,1.279628,1.2075
448,0.788053,1.374137,1.656018
449,0.776436,0.88558,2.087407
450,1.159675,0.439832,2.045946
451,1.575463,0.289705,1.66671
452,1.732711,0.296938,1.295601
453,1.710977,0.421014,1.056004
454,1.555419,0.702755,0.981381
455,1.246732,1.142484,1.111191
456,0.874345,1.416635,1.489355
457,0.733161,1.077644,1.981308
458,1.004122,0.548806,2.117449
459,1.465324,0.315778,1.801916
460,1.706427,0.282103,1.405368
461,1.732749,0.365839,1.117554
462,1.622301,0.589884,0.985805
463,1.364082,0.990902,1.042661
464,0.986982,1.382606,1.339085
465,0.736942,1.249692,1.833142
466,0.872407,0.695914,2.135744
467,1.325846,0.362035,1.931073
468,1.657396,0.279034,1.527815
469,1.74073,0.325444,1.195877
470,1.673188,0.497534,1.010192
471,1.466369,0.84287,1.000239
472,1.11313,1.286108,1.213439
473,0.7844,1.369677,1.66513
474,0.780087,0.875397,2.091526
475,1.168252,0.435036,2.040932
476,1.580445,0.288782,1.659513
477,1.733568,0.29806,1.290137
478,1.709432,0.424418,1.053203
479,1.551371,0.70936,0.981738
480,1.240131,1.150365,1.115622
481,0.868964,1.416357,1.497943
482,0.734267,1.067589,1.988224
483,1.012002,0.542025,2.114847
484,1.472003,0.313925,1.794748
485,1.70836,0.282601,1.399162
486,1.731929,0.368394,1.113836
487,1.619145,0.59539,0.98505
488,1.358161,0.999038,1.045643
489,0.980505,1.386184,1.346537
490,0.735593,1.241562,1.841759
491,0.878548,0.68713,2.136313
492,1.333896,0.358954,1.924527
493,1.660676,0.278889,1.521003
494,1.740668,0.32726,1.191282
495,1.670851,0.501964,1.008409
496,1.461335,0.850478,1.00188
497,1.106266,1.292476,1.219458
498,0.780854,1.365004,1.674246
499,0.783872,0.865254,2.095473
500,1.176831,0.430338,2.035817
501,1.585335,0.287903,1.652326
502,1.734374,0.299215,1.284717
503,1.707849,0.427871,1.050453
504,1.547274,0.71602,0.982158
505,1.233504,1.158203,1.120134
506,0.86366,1.415857,1.506578
507,0.735509,1.057481,1.995015
508,1.019949,0.535356,2.112094
509,1.478596,0.312128,1.787566
510,1.71023,0.283133,1.392992
511,1.73107,0.370992,1.110165
512,1.615944,0.600954,0.984353
513,1.352197,1.007183,1.0487
514,0.974069,1.389578,1.354059
515,0.73437,1.233286,1.850317
516,0.884801,0.678444,2.136701
517,1.341889,0.355947,1.917929
518,1.663877,0.27878,1.514218
519,1.740564,0.329113,1.186734
520,1.668472,0.506449,1.006678
521,1.456251,0.858128,1.00359
522,1.099406,1.298729,1.225557
523,0.777415,1.360118,1.683363
524,0.787791,0.855154,2.099247
525,1.185411,0.425737,2.030601
526,1.590135,0.287067,1.645151
527,1.73513,0.300404,1.279338
528,1.706226,0.431373,1.047752
529,1.543127,0.722738,0.982639
530,1.226851,1.165995,1.124726
531,0.858436,1.415132,1.515258
532,0.736886,1.047328,2.001678
533,1.02796,0.528797,2.109192
534,1.485101,0.310387,1.780372
535,1.712037,0.283697,1.38686
536,1.730173,0.373632,1.106543
537,1.612696,0.606578,0.983712
538,1.34619,1.015336,1.051832
539,0.967676,1.392785,1.361652
540,0.733273,1.224867,1.858811
541,0.891165,0.669857,2.136909
542,1.349824,0.353014,1.911282
543,1.667,0.278707,1.507461
544,1.740417,0.331003,1.18223
545,1.666051,0.510989,1.005001
546,1.451118,0.865818,1.005369
547,1.092552,1.304862,1.231736
548,0.774086,1.355024,1.692478
549,0.791842,0.845101,2.102845
550,1.193987,0.42123,2.025289
551,1.594844,0.286273,1.637989
552,1.735835,0.301627,1.274003
553,1.704564,0.434925,1.045103
554,1.53893,0.729511,0.983184
555,1.220174,1.173736,1.129397
556,0.853293,1.414182,1.523981
557,0.738399,1.037133,2.008211
558,1.03603,0.522348,2.106144
559,1.491517,0.3087,1.773165
560,1.713781,0.284295,1.380766
561,1.729236,0.376315,1.102969
562,1.609403,0.612261,0.98313
563,1.340142,1.023494,1.055039
564,0.961327,1.395803,1.369313
565,0.732304,1.216311,1.867239
566,0.897638,0.661371,2.136938
567,1.357698,0.350154,1.904587
568,1.670044,0.278669,1.500733
569,1.740229,0.332931,1.177773
570,1.663588,0.515586,1.003378
571,1.445935,0.873548,1.007217
572,1.085705,1.310871,1.237994
573,0.770867,1.349723,1.701588
574,0.796027,0.835099,2.106268
575,1.202556,0.416819,2.019882
576,1.599463,0.285521,1.630841
577,1.736491,0.302884,1.26871
578,1.702863,0.438526,1.042504
579,1.534683,0.736339,0.983791
580,1.213475,1.181425,1.134149
581,0.848233,1.413006,1.532744
582,0.740047,1.026903,2.014609
583,1.044158,0.51601,2.102951
584,1.497844,0.307067,1.76595
585,1.715464,0.284927,1.374709
586,1.728261,0.379042,1.099443
587,1.606062,0.618004,0.982605
588,1.334051,1.031655,1.058323
589,0.955025,1.398628,1.377042
590,0.731464,1.207623,1.875596
591,0.904219,0.652988,2.136788
592,1.365509,0.347365,1.897847
593,1.673013,0.278667,1.494034
594,1.739999,0.334896,1.173362
595,1.661082,0.520238,1.001808
596,1.440703,0.881315,1.009135
597,1.078867,1.316753,1.244332
598,0.76776,1.344217,1.71069
599,0.800343,0.825152,2.109513
600,1.211115,0.4125,2.014383
601,1.603992,0.28481,1.623708
602,1.737098,0.304175,1.263461
603,1.701122,0.442178,1.039955
604,1.530387,0.743222,0.984462
605,1.206754,1.189056,1.138982
606,0.843258,1.411604,1.541547
607,0.741832,1.016642,2.020871
608,1.05234,0.509781,2.099617
609,1.504082,0.305487,1.758725
610,1.717085,0.285591,1.368691
611,1.727247,0.381812,1.095966
612,1.602675,0.623805,0.982138
613,1.327921,1.039815,1.061682
614,0.948772,1.401258,1.384838
615,0.730751,1.198806,1.88388
616,0.910904,0.644708,2.136461
617,1.373254,0.344647,1.891064
618,1.675905,0.278699,1.487365
619,1.739727,0.3369,1.168997
620,1.658534,0.524947,1.000292
621,1.435422,0.889119,1.011122
622,1.072039,1.322503,1.250748
623,0.764766,1.33851,1.719782
624,0.804791,0.815263,2.11258
625,1.21966,0.408273,2.008796
626,1.608432,0.284141,1.616591
627,1.737656,0.305501,1.258254
628,1.699342,0.44588,1.037458
629,1.526041,0.75016,0.985197
630,1.200013,1.196628,1.143894
631,0.83837,1.409977,1.550387
632,0.743754,1.006356,2.026992
633,1.060572,0.503662,2.096144
634,1.510229,0.303959,1.751495
635,1.718647,0.286288,1.362712
636,1.726195,0.384627,1.092537
637,1.599241,0.629666,0.98173
638,1.32175,1.047973,1.065118
639,0.94257,1.40369,1.3927
640,0.730169,1.189866,1.892086
641,0.917693,0.636533,2.135958
642,1.380932,0.341998,1.884241
643,1.678722,0.278767,1.480727
644,1.739414,0.338943,1.164679
645,1.655943,0.529713,0.998831
646,1.430092,0.896958,1.01318
647,1.065225,1.328119,1.257243
648,0.761885,1.332604,1.72886
649,0.809369,0.805436,2.115467
650,1.228189,0.404137,2.003122
651,1.612784,0.283512,1.609491
652,1.738167,0.306862,1.253092
653,1.697522,0.449633,1.035012
654,1.521645,0.757151,0.985995
655,1.193253,1.204135,1.148888
656,0.833569,1.408122,1.559262
657,0.745811,0.996049,2.032971
658,1.068851,0.497651,2.092534
659,1.516285,0.302483,1.744259
660,1.720149,0.287019,1.356771
661,1.725103,0.387485,1.089157
662,1.59576,0.635586,0.98138
663,1.31554,1.056126,1.068631
664,0.936421,1.405921,1.400627
665,0.729716,1.180809,1.900211
666,0.924582,0.628464,2.13528
667,1.388541,0.339418,1.877379
668,1.681465,0.278869,1.47412
669,1.739061,0.341023,1.160407
670,1.653309,0.534536,0.997424
671,1.424713,0.904831,1.015309
672,1.058426,1.333596,1.263816
673,0.759119,1.326502,1.737921
674,0.814076,0.795675,2.118174
675,1.236697,0.400091,1.997365
676,1.617047,0.282923,1.602409
